_id,SKUCode,multiCode,vendorCode,majorCode,colorCode,finishCode,image[0],isDeleted,__v
643dabf1528fff8354d9e3bc,30-21341,30-00044-UG-Y-Y,UG,30,Y,Y,03021341.jpg,,
643dabf1528fff8354d9e4cb,85-28726,85-00315-EMR-Y-Y,EMR,85,Y,Y,08528726.jpg,,
643dabf1528fff8354d9e4c7,85-27848,85-00311-PR-W-W,PR,85,W,W,08527848.jpg,,
643dabf1528fff8354d9e3b7,30-20909,30-00039-DP-Y-Y,DP,30,Y,Y,03020909.jpg,,
643dabf1528fff8354d9e3b1,30-19833,30-00033-UG-Y-TT,UG,30,Y,TT,03019833.jpg,,
643dabf1528fff8354d9e3cc,31-16614,31-00060-DP-Y-TT,DP,31,Y,TT,03116614.jpg,,
643dabf1528fff8354d9e4be,85-27444,85-00302-RHC-Y-Y,RHC,85,Y,Y,08527444.jpg,,
643dabf1528fff8354d9e3d2,32-11807,32-00066-DP-W-W,DP,32,W,W,03211807.jpg,,
643dabf1528fff8354d9e3d5,32-11959,32-00069-UG-Y-Y,UG,32,Y,Y,03211959.jpg,,
643dabf1528fff8354d9e431,51-03955,51-00161-SCS-Y-Y,SCS,51,Y,Y,05103955.jpg,,
643dabf1528fff8354d9e458,70-15898,70-00200-EMR-Y-TT,EMR,70,Y,TT,07015898.jpg,,
643dabf1528fff8354d9e3d6,32-12005,32-00070-UG-Y-Y,UG,32,Y,Y,03212005.jpg,,
643dabf1528fff8354d9e4db,85-29521,85-00331-EMR-Y-Y,EMR,85,Y,Y,08529521.jpg,,
643dabf1528fff8354d9e4ec,85-30553,85-00348-EMR-Y-Y,EMR,85,Y,Y,08530553.jpg,,
643dabf1528fff8354d9e52a,90-11660,90-00410-BLJ-Y-Y,BLJ,90,Y,Y,09011660.jpg,,
643dabf1528fff8354d9e52f,90-11920,90-00415-EMR-Y-MNC,EMR,90,Y,,09011920.jpg,,
643dabf1528fff8354d9e3fb,41-08635,41-00107-SCS-Y-TTT,SCS,41,Y,TTT,04108635.jpg,,
643dabf1528fff8354d9e50a,85-31588,85-00378-SRY-Y-Y,SRY,85,Y,Y,08531588.jpg,,
643dabf1528fff8354d9e582,400-04910,400-00501-GS-R-R,GS,400,R,R,40004910.jpg,,
643dabf1528fff8354d9e3c4,30-21873,30-00052-RHC-Y-TT,RHC,30,Y,TT,03021873.jpg,,
643dabf1528fff8354d9e480,73-05769,73-00240-EMR-Y-TT,EMR,73,Y,TT,07305769.jpg,,
643dabf1528fff8354d9e416,49-08028,49-00134-ZAR-Y-Y,ZAR,49,Y,Y,04908028.jpg,,
643dabf1528fff8354d9e452,61-04387,61-00194-DP-Y-TT,DP,61,Y,TT,06104387.jpg,,
643dabf1528fff8354d9e519,90-10732,90-00393-EMR-Y-TT,EMR,90,Y,TT,09010732.jpg,,
643dabf1528fff8354d9e41a,50-14728,50-00138-EMR-Y-Y,EMR,50,Y,Y,05014728.jpg,,
643dabf1528fff8354d9e3e6,36-01770,36-00086-KUS-Y-Y,KUS,36,Y,Y,03601770.jpg,,
643dabf1528fff8354d9e404,46-14529,46-00116-DP-Y-Y,DP,46,Y,Y,04614529.jpg,,
643dabf1528fff8354d9e4d1,85-28824,85-00321-EMR-Y-Y,EMR,85,Y,Y,08528824.jpg,,
643dabf1528fff8354d9e4d6,85-29314,85-00326-EMR-Y-Y,EMR,85,Y,Y,08529314.jpg,,
643dabf1528fff8354d9e54b,95-07832,95-00443-EMR-Y-TT,EMR,95,Y,TT,09507832.jpg,,
643dabf1528fff8354d9e57f,400-04903,400-00498-GS-Y-Y,GS,400,Y,Y,40004903.jpg,,
643dabf1528fff8354d9e3c3,30-21858,30-00051-RHC-Y-Y,RHC,30,Y,Y,03021858.jpg,,
643dabf1528fff8354d9e454,61-04423,61-00196-DP-Y-Y,DP,61,Y,Y,06104423.jpg,,
643dabf1528fff8354d9e455,61-04430,61-00197-DP-Y-Y,DP,61,Y,Y,06104430.jpg,,
643dabf1528fff8354d9e471,72-01795,72-00225-DP-Y-TT,DP,72,Y,TT,07201795.jpg,,
643dabf1528fff8354d9e3f4,38-02311,38-00100-EMR-Y-Y,EMR,38,Y,Y,03802311.jpg,,
643dabf1528fff8354d9e46f,72-01543,72-00223-SCS-Y-TT,SCS,72,Y,TT,07201543.jpg,,
643dabf1528fff8354d9e516,90-10695,90-00390-EMR-Y-TT,EMR,90,Y,TT,09010695.jpg,,
643dabf1528fff8354d9e470,72-01579,72-00224-SCS-Y-TT,SCS,72,Y,TT,07201579.jpg,,
643dabf1528fff8354d9e49a,77-00439,77-00266-BLJ-Y-Y,BLJ,77,Y,Y,07700439.jpg,,
